,edit_count,sentiment,neg_sentiment
2020-03-03,0.3333333333333333,-0.04702839056650797,0.2
2020-03-04,0.2,-0.0444100797176361,0.13333333333333333
2020-03-05,0.2,-0.0444100797176361,0.13333333333333333
2020-03-06,0.13333333333333333,-0.044433649381001784,0.1
2020-03-07,0.13333333333333333,-0.044433649381001784,0.1
2020-03-08,0.13333333333333333,-0.044433649381001784,0.1
2020-03-09,0.16666666666666666,-0.06907235781351725,0.13333333333333333
2020-03-10,0.16666666666666666,-0.06907235781351725,0.13333333333333333
2020-03-11,0.26666666666666666,-0.07778349452548557,0.2
2020-03-12,0.3,-0.11109180781576368,0.23333333333333334
2020-03-13,0.3,-0.11109180781576368,0.23333333333333334
2020-03-14,0.3,-0.11109180781576368,0.23333333333333334
2020-03-15,0.3,-0.11109180781576368,0.23333333333333334
2020-03-16,0.3,-0.11109180781576368,0.23333333333333334
2020-03-17,0.3,-0.11109180781576368,0.23333333333333334
2020-03-18,0.3333333333333333,-0.1444136732154422,0.26666666666666666
2020-03-19,0.3333333333333333,-0.1444136732154422,0.26666666666666666
2020-03-20,0.4,-0.1774308207962248,0.3333333333333333
2020-03-21,0.6333333333333333,-0.19744547894076697,0.5333333333333333
2020-03-22,0.6,-0.1641683845766007,0.5
2020-03-23,0.6333333333333333,-0.13140581538752902,0.5
2020-03-24,0.6333333333333333,-0.13140581538752902,0.5
2020-03-25,0.6333333333333333,-0.13140581538752902,0.5
2020-03-26,0.6333333333333333,-0.13140581538752902,0.5
2020-03-27,0.6333333333333333,-0.13140581538752902,0.5
2020-03-28,0.5333333333333333,-0.1202492603706935,0.43333333333333335
2020-03-29,0.5333333333333333,-0.1202492603706935,0.43333333333333335
2020-03-30,0.5333333333333333,-0.1202492603706935,0.43333333333333335
2020-03-31,0.5333333333333333,-0.1202492603706935,0.43333333333333335
2020-04-01,0.5666666666666667,-0.09531189690506646,0.43333333333333335
2020-04-02,0.6333333333333333,-0.0622291355379044,0.43333333333333335
2020-04-03,0.7333333333333333,-0.09521855271997906,0.5333333333333333
2020-04-04,0.7333333333333333,-0.09521855271997906,0.5333333333333333
2020-04-05,0.7333333333333333,-0.09521855271997906,0.5333333333333333
2020-04-06,0.7333333333333333,-0.09521855271997906,0.5333333333333333
2020-04-07,0.7333333333333333,-0.09521855271997906,0.5333333333333333
2020-04-08,0.7,-0.0705798442874636,0.5
2020-04-09,0.7,-0.0705798442874636,0.5
2020-04-10,0.6,-0.06186870757549527,0.43333333333333335
